,Unnamed: 0,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,full-name
72,72,44,59151903,2014,1,CANCELADO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
73,73,45,59650000,2014,1,ATIVO,2014,2,9.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
74,74,46,59094390,2014,1,CANCELADO,2014,2,0.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
75,75,46,59094390,2014,1,CANCELADO,2015,1,7.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
76,76,47,59088310,2014,1,ATIVO,2016,1,5.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
77,77,48,59150160,2014,1,ATIVO,2014,2,0.6,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
78,78,48,59150160,2014,1,ATIVO,2015,1,6.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
79,79,49,59074120,2014,1,CANCELADO,2015,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
80,80,50,59073143,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
81,81,51,59460000,2014,1,CANCELADO,2014,1,7.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
82,82,52,59120520,2014,1,CANCELADO,2014,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
83,83,53,59068570,2014,1,CANCELADO,2015,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
84,84,53,59068570,2014,1,CANCELADO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
85,85,54,59037390,2014,1,ATIVO,2015,1,7.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
86,86,55,59082070,2014,1,ATIVO,2014,2,7.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
87,87,56,59114020,2014,1,CANCELADO,2015,1,7.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
88,88,57,59149300,2014,1,ATIVO,2014,2,1.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
89,89,57,59149300,2014,1,ATIVO,2015,1,5.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
90,90,58,59073140,2014,1,CONCLUIDO,2014,1,8.0,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
91,91,59,59150300,2014,1,CANCELADO,2014,2,7.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
92,92,60,59148630,2014,1,ATIVO,2014,2,8.7,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
93,93,61,59151400,2014,1,ATIVO,2014,2,5.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
94,94,61,59151400,2014,1,ATIVO,2015,1,8.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
95,95,62,59090500,2014,1,ATIVO,2014,2,8.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
96,96,63,59115555,2014,1,ATIVO,2014,2,9.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
97,97,64,59141300,2014,1,ATIVO,2014,2,1.9,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
98,98,64,59141300,2014,1,ATIVO,2015,1,6.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
99,99,65,59014020,2014,1,CANCELADO,2014,2,8.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
100,100,66,59080470,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
101,101,66,59080470,2014,1,CANCELADO,2015,1,0.9,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
102,102,66,59080470,2014,1,CANCELADO,2015,2,2.8,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
