,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
113,75,59062570,2014,1,TRANCADO,2014,2,3.1,0,Reprovado,2293,0,640,672
114,75,59062570,2014,1,TRANCADO,2015,1,6.9,0,Aprovado,2293,0,640,672
115,76,59075100,2014,1,TRANCADO,2014,2,7.6,0,Aprovado,2213,0,960,718
116,77,0,2014,1,ATIVO,2014,1,6.3,0,Aprovado,0,0,0,
117,78,59460000,2014,1,CANCELADO,2014,2,5.1,0,Aprovado,1882,0,680,579
118,78,59460000,2014,1,CANCELADO,2015,1,6.3,0,Aprovado,1882,0,680,579
119,79,59590000,2014,1,FORMANDO,2014,2,9.4,0,Aprovado,2114,0,620,616
120,80,59290000,2014,1,ATIVO,2014,2,7.4,0,Aprovado,695,0,800,698
121,81,59149390,2014,1,CANCELADO,2014,2,7.1,0,Aprovado,2108,0,640,650
122,82,59080370,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,1954,0,500,599
123,83,59148323,2014,1,ATIVO,2014,2,6.4,0,Aprovado,2101,0,560,639
124,83,59148323,2014,1,ATIVO,2015,1,8.2,0,Aprovado,2101,0,560,639
125,84,59149150,2014,1,CANCELADO,2014,2,1,0,Reprovado,1930,0,720,630
126,84,59149150,2014,1,CANCELADO,2015,1,0.7,0,Reprovado,1930,0,720,630
127,84,59149150,2014,1,CANCELADO,2016,1,0,0,Reprovado,1930,0,720,630
128,85,59068720,2014,1,CANCELADO,2014,2,9.2,0,Aprovado,2244,0,740,687
129,86,59145810,2014,1,ATIVO,2014,2,6.6,0,Aprovado,2165,0,760,668
130,87,59082210,2014,1,ATIVO,2014,2,1.2,0,Reprovado,2043,0,560,616
131,87,59082210,2014,1,ATIVO,2015,1,1.5,0,Reprovado,2043,0,560,616
132,87,59082210,2014,1,ATIVO,2015,2,5.8,0,Aprovado,2043,0,560,616
133,88,59082100,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,1972,0,600,636
134,88,59082100,2014,1,CANCELADO,2015,1,6.6,0,Aprovado,1972,0,600,636
135,89,59151610,2014,1,TRANCADO,2015,1,8.9,0,Aprovado,2065,0,780,653
136,90,59215970,2014,1,ATIVO,2014,2,5.4,0,Aprovado,2206,0,520,646
137,91,59200000,2014,1,ATIVO,2016,2,1.8,0,Reprovado,1915,0,560,572
138,92,59900000,2014,1,ATIVO,2014,2,8.6,0,Aprovado,2216,0,700,679
139,93,59108245,2014,1,ATIVO,2014,2,8.2,0,Aprovado,1932,0,800,637
140,94,59080115,2014,1,CANCELADO,2015,2,0.8,0,Reprovado,2049,0,580,613
141,95,59132310,2014,1,ATIVO,2014,2,1.5,0,Reprovado,1800,0,800,647
142,95,59132310,2014,1,ATIVO,2015,1,6.5,0,Aprovado,1800,0,800,647
